overall,soundness,presentation,contribution,PaperId
6,3,3,3,1463
6,3,3,2,1876
3,1,3,1,1882
8,3,3,3,1853
6,3,3,3,1463
3,1,3,1,1892
3,3,3,2,1889
3,2,3,2,1882
5,3,3,1,1882
6,3,3,3,1889
6,3,2,3,183
3,2,3,2,1892
5,3,3,2,183
5,3,3,3,1072
5,2,3,2,111
6,3,3,3,1117
5,3,3,2,1072
6,2,3,3,1109
3,1,2,3,1109
5,2,3,3,111
6,3,3,2,1047
5,2,3,2,1117
8,3,4,4,1022
5,3,3,2,1109
3,3,3,2,1047
3,2,2,2,112
5,3,3,2,1042
3,2,2,2,112
6,3,3,3,1072
5,3,2,3,1047
5,3,2,2,111
5,3,3,2,1042
6,3,3,4,1022
6,3,3,3,1047
6,3,2,3,111
8,4,3,4,1058
5,2,3,2,1109
6,3,3,3,1014
8,4,3,3,1058
1,1,1,1,112
6,2,3,2,1022
5,2,3,3,1042
5,2,3,2,1042
6,3,4,3,1117
6,4,3,3,1058
8,4,4,3,1058
5,2,1,2,1072
6,3,3,3,1014
6,2,3,2,1022
8,4,1,2,1846
1,3,2,1,1891
5,2,3,2,1880
6,3,3,3,1844
5,3,3,2,1880
3,1,3,1,1891
8,3,3,3,1869
5,3,3,2,1894
8,4,2,3,1894
8,3,4,3,1690
6,2,2,2,1870
8,4,3,4,1846
3,3,3,2,1893
5,2,3,2,1893
1,1,3,1,1891
5,2,2,2,1880
6,3,4,3,1870
6,3,3,2,1846
8,4,4,3,1846
5,3,3,2,1893
6,3,2,3,1870
5,3,3,3,1893
3,2,3,2,1818
5,2,3,2,1880
8,4,4,2,1818
8,3,3,2,1869
6,3,3,3,1894
6,3,3,3,1846
1,2,3,1,1891
5,2,2,2,1844
5,2,3,1,1894
6,3,3,3,1844
3,2,2,2,1818
8,3,3,3,1844
5,3,2,2,1869
6,3,3,3,1870
8,3,4,4,1690
8,3,3,2,1690
5,3,3,2,187
10,4,4,4,189
3,2,1,2,1887
8,3,3,3,1869
6,3,3,3,1887
5,2,3,2,1888
6,3,3,2,189
3,2,2,2,1901
3,3,3,2,1871
3,2,2,2,189
8,3,4,3,187
6,3,3,2,187
5,2,3,2,1901
5,3,3,3,1887
5,3,3,3,1888
6,2,3,3,1793
8,3,3,3,1888
3,1,2,2,1901
5,2,2,2,1888
8,3,3,3,1690
8,3,4,4,187
3,1,4,3,1871
3,2,2,2,1901
8,4,3,4,1869
6,3,4,2,1793
3,3,3,3,1888
5,2,3,2,1793
3,1,3,1,1871
3,1,2,1,1871
8,3,3,3,189
5,3,3,2,1887
6,3,3,3,188
8,4,4,3,1909
5,3,3,2,1868
6,2,3,2,1873
5,2,3,2,1874
3,4,1,3,1909
3,2,1,2,1912
5,3,3,3,1909
3,2,2,2,1861
6,3,3,2,1868
3,2,2,2,1898
6,3,3,3,1868
1,1,2,2,1909
3,1,2,2,1916
3,2,4,2,1861
6,3,2,2,1873
3,1,2,1,1916
8,3,3,3,1868
5,3,3,2,1886
5,4,3,2,1873
5,3,2,3,1898
8,3,3,3,1874
6,3,3,3,1912
3,2,2,2,1861
6,3,2,2,188
6,3,2,2,1874
6,2,2,3,1874
3,3,3,2,1912
1,2,2,1,1898
6,2,3,2,1873
3,2,2,2,1916
6,3,2,3,188
6,3,3,3,1873
5,2,2,2,188
3,3,4,2,1898
8,3,3,3,1808
6,3,3,2,1808
6,3,3,2,1874
6,3,3,2,1808
6,3,3,3,1897
6,3,3,3,1910
5,3,3,2,1910
8,3,4,3,1908
3,3,1,2,1905
5,3,3,3,1886
3,2,2,2,1905
5,3,3,2,191
6,3,3,3,1908
5,2,3,2,191
6,3,3,3,1915
5,2,2,3,1908
5,3,2,2,1905
5,2,3,2,1911
8,3,3,3,1908
5,2,2,3,1897
5,2,3,2,1910
8,3,3,3,1883
5,3,3,3,1886
6,3,2,2,1899
3,2,2,3,1911
5,3,2,2,1911
5,2,2,2,1897
6,3,4,3,1910
5,3,2,2,1918
6,3,2,2,1899
3,3,3,2,1918
6,3,3,2,1897
3,2,3,2,1883
5,3,3,2,191
8,3,3,3,1899
5,2,2,3,1911
3,2,2,2,1918
6,2,2,2,1899
5,2,3,3,1905
3,2,3,1,1886
3,3,2,2,1883
3,2,4,2,1918
6,3,4,2,191
6,4,2,2,1929
8,2,4,3,1479
1,1,2,1,190
3,3,3,2,190
8,4,3,3,1926
3,2,2,2,1928
6,3,4,3,1925
6,2,3,3,1925
5,2,3,2,1925
5,3,2,2,1479
6,3,3,2,1929
6,3,2,2,1929
6,2,3,3,1926
3,3,3,1,1927
6,3,4,3,1915
3,2,3,2,1927
6,3,3,3,1926
3,2,2,2,190
5,3,3,2,1929
5,2,2,2,1928
5,3,3,2,1928
3,2,2,2,1928
3,2,3,2,1928
3,2,3,2,1479
5,3,3,2,1479
3,2,2,1,190
6,3,3,3,1926
5,2,3,2,1915
5,2,3,2,1927
6,3,2,3,1917
5,3,3,2,1930
6,3,3,2,1940
3,2,2,2,1942
3,2,2,1,1939
6,4,4,3,1940
6,3,3,2,1917
6,3,3,2,1934
8,3,3,4,1940
5,3,4,2,1942
6,3,3,3,1940
8,3,2,3,1578
8,3,3,3,1933
3,2,2,2,1930
1,1,1,1,1920
6,3,3,2,1937
8,4,3,4,1933
3,1,1,1,1578
8,2,3,3,1933
8,3,3,3,1942
5,2,3,2,1934
5,2,3,2,1920
6,3,3,2,1934
3,2,2,2,1939
3,1,3,1,1920
3,3,3,2,1920
5,3,3,2,1934
5,2,2,2,1930
3,2,1,2,1578
6,3,3,2,1934
6,3,3,3,1937
3,2,2,2,1939
8,3,2,3,1937
6,3,3,2,1937
3,2,2,2,1930
8,4,4,4,1933
3,2,3,2,1917
6,3,3,3,1942
6,3,3,3,192
5,3,2,2,1935
8,4,4,3,1945
5,3,4,2,1945
5,2,2,2,1749
5,2,3,2,1959
6,3,3,3,1946
3,2,2,1,1949
6,3,4,3,1827
8,3,3,3,1953
6,3,3,3,1931
5,3,3,2,1959
5,3,3,2,1749
6,2,4,3,1935
5,2,3,2,1827
8,3,4,3,1953
8,3,2,2,1953
6,3,3,2,1945
6,3,3,2,1931
8,3,3,3,192
6,3,3,3,1749
6,2,1,2,1931
3,2,2,1,1949
6,2,3,2,192
6,3,3,4,1827
5,3,2,3,1946
6,3,3,3,1749
3,2,2,2,1946
8,3,4,3,1945
8,3,3,3,1935
8,3,4,4,1953
10,4,4,4,1931
5,3,3,2,1945
1,1,1,2,1959
8,3,4,3,192
8,3,3,4,195
6,3,3,3,196
5,3,3,3,1960
6,3,3,3,196
6,3,2,3,1938
6,3,3,2,1948
6,3,3,3,195
6,4,3,3,1949
5,3,2,2,196
3,2,1,2,1966
6,3,3,2,1948
6,2,2,3,195
3,1,1,2,1950
5,3,3,2,1966
3,1,2,1,1944
6,2,2,2,1960
6,3,3,2,195
3,1,3,1,1944
3,2,1,2,1950
5,2,2,2,1954
5,3,3,2,1960
3,3,3,2,1938
6,3,2,3,1938
6,3,2,3,1966
6,3,3,3,1954
6,3,3,2,1948
6,3,3,3,1950
3,2,1,3,196
3,2,2,2,1944
5,2,3,3,1966
3,2,2,2,1966
6,3,3,2,1954
3,2,3,1,1954
3,2,1,2,1938
8,3,3,3,1902
8,3,3,3,1902
6,3,3,3,1968
6,2,3,2,1947
8,3,3,4,1947
3,2,2,1,1976
8,4,4,4,1947
3,2,1,2,1968
5,3,3,2,1976
6,4,4,2,1965
3,1,1,1,1906
6,3,2,3,1947
3,3,3,2,1932
3,1,2,2,1965
6,3,4,3,1906
6,3,2,2,1968
6,3,3,3,1947
6,3,3,3,1978
5,2,3,2,1978
3,2,3,2,1976
6,3,2,3,1978
6,3,3,3,1906
8,3,2,2,1902
8,4,4,3,1902
8,3,2,3,1932
6,3,3,3,1947
6,3,4,3,1976
5,2,2,2,1902
8,3,3,2,1968
5,2,2,2,1965
6,3,3,2,1932
3,2,2,2,1968
5,2,2,2,1978
5,4,2,3,1932
3,2,2,2,1906
3,1,2,1,1976
6,3,4,3,1984
6,2,2,2,1969
3,2,2,2,1986
6,2,3,2,1986
6,3,3,3,1967
5,4,4,3,1973
8,3,3,3,1967
6,3,3,3,1986
8,3,3,3,1982
6,3,2,3,1982
3,2,3,2,1973
5,3,3,3,1971
5,2,2,2,1987
3,2,4,2,1969
5,2,2,2,1936
3,3,2,2,1987
6,2,3,3,1969
6,3,2,2,1984
1,1,2,1,1984
6,3,3,3,1943
6,2,2,3,1967
1,2,2,2,1994
5,3,3,2,1971
3,3,3,2,1986
8,4,4,3,1967
3,3,3,2,1969
6,3,3,3,1943
6,3,2,2,1971
8,4,4,4,1982
8,3,3,4,1982
3,3,2,1,1994
5,3,2,2,1936
1,1,1,1,1994
5,2,2,2,1943
6,4,2,2,1943
3,2,3,2,1994
5,3,3,3,1987
5,3,3,3,1936
6,3,3,2,1971
8,3,3,3,1139
6,2,3,3,1134
6,3,2,3,1014
5,3,2,2,1126
6,3,3,3,1060
3,1,1,2,1128
5,2,3,2,1128
8,3,4,4,1014
6,4,3,2,1060
6,3,3,3,1009
3,2,1,2,1009
6,3,2,2,1128
6,3,3,3,1134
6,3,3,3,1139
6,3,2,3,1009
6,3,3,3,1134
6,3,3,3,1126
5,3,4,3,1126
5,3,4,2,1103
8,4,3,3,1104
6,3,2,2,1134
5,3,3,3,1104
6,3,3,2,1104
5,2,4,3,113
6,3,3,3,1009
3,2,3,2,1139
5,2,3,3,1128
5,3,3,2,1126
5,3,1,2,1104
6,3,3,3,1060
5,2,3,2,1103
8,3,2,3,1060
8,3,4,3,1103
3,2,1,1,1134
3,1,1,2,1139
3,2,1,3,2004
5,2,2,2,2006
5,3,4,2,1904
5,3,3,3,197
3,3,3,2,1999
6,3,2,3,1999
3,1,2,2,1852
6,3,2,3,1988
5,2,3,3,197
5,3,3,2,1988
3,2,2,2,1981
5,2,1,2,1904
6,3,3,3,1904
5,2,3,2,1852
5,3,3,2,2001
5,3,3,3,2006
5,3,3,3,2001
6,3,3,2,2006
6,4,3,3,1852
5,2,2,3,2004
3,2,3,2,200
3,2,2,2,200
5,3,3,2,2001
3,2,2,2,1973
3,2,2,1,1852
5,3,2,2,1999
6,2,2,3,1973
6,3,3,3,1973
5,3,3,2,197
5,2,3,2,2006
8,3,3,3,1981
5,3,3,2,2004
6,3,3,3,1988
3,2,1,2,1999
5,2,3,2,2001
5,3,3,2,197
3,1,2,1,1981
3,1,2,2,2004
3,2,3,2,200
5,2,3,1,1981
6,3,3,2,2002
6,2,2,2,2002
6,3,3,2,1957
3,2,3,2,1991
3,1,1,1,2013
3,2,4,1,1951
6,4,4,4,2019
6,3,3,2,1957
6,3,3,2,1957
6,4,4,3,2019
5,2,2,3,2002
8,3,3,3,2019
3,2,1,2,2015
6,2,3,2,2018
3,2,2,2,2015
5,2,2,2,2021
6,3,3,3,1
3,2,2,1,2021
5,3,3,2,2021
5,2,3,3,2002
5,2,4,2,1
5,2,4,3,1991
5,2,2,2,1
5,2,3,4,1991
8,2,3,3,2013
8,3,3,3,2015
5,3,3,3,2013
3,2,4,2,2021
6,3,3,3,1957
3,3,3,2,2021
5,2,3,2,1
6,2,2,2,2018
5,3,3,3,2018
3,2,2,2,2018
5,3,3,2,2015
3,2,4,2,2018
3,2,1,3,1970
8,3,3,3,2010
3,2,2,2,1970
8,3,3,3,2023
5,2,2,2,1951
3,1,1,1,19
3,2,3,2,2024
8,3,3,3,198
6,4,4,3,1970
3,2,1,2,2024
3,3,2,2,2024
5,3,3,2,2023
6,3,2,3,198
6,3,3,2,2017
6,3,3,3,19
6,4,4,3,19
5,2,2,3,2017
3,2,3,2,1951
3,3,3,2,2010
5,2,3,2,2023
8,3,2,3,202
6,3,3,2,2017
6,4,2,2,2010
6,3,4,3,202
6,3,3,2,1983
5,2,3,2,202
3,2,2,2,1970
8,3,2,3,1983
3,3,3,2,202
6,3,3,2,2017
3,2,2,2,2024
8,4,4,4,1983
6,2,2,3,19
8,3,3,3,1983
5,3,3,2,19
6,3,3,2,2045
5,3,3,3,2045
3,2,3,2,1977
6,2,3,2,2040
8,3,3,3,2022
5,2,2,2,2037
3,3,2,2,2022
5,3,3,2,2030
6,4,3,3,198
5,2,2,2,2040
1,3,3,1,2028
3,2,2,1,2036
3,2,2,2,2039
3,2,3,2,2039
5,2,3,1,2022
6,3,4,3,198
8,3,3,3,2030
5,2,3,2,2028
3,2,3,2,2022
6,3,3,3,2037
5,2,2,1,2028
6,3,3,2,2030
5,3,3,2,2039
5,3,3,2,2040
5,2,3,3,2039
5,3,3,1,1977
6,3,3,2,2028
3,3,2,3,2045
5,2,3,2,1977
3,3,2,1,2036
5,3,3,2,2036
8,3,3,3,2037
5,2,3,2,2030
6,3,3,2,2040
8,4,4,4,2049
5,2,3,2,2033
5,3,2,2,2052
8,3,3,4,2052
6,3,2,2,2047
6,3,3,3,2000
3,1,2,2,2059
3,3,2,2,2033
6,2,3,2,2047
6,3,2,3,2000
5,2,3,2,204
6,2,3,2,2047
5,2,2,2,204
6,3,3,2,2048
8,4,3,4,2053
8,4,4,3,2000
10,4,4,4,2000
3,2,2,2,2059
5,2,3,2,2049
8,3,2,3,2052
5,2,3,2,2048
5,2,4,3,2033
8,3,4,3,204
8,3,3,3,2000
8,4,3,3,2000
6,3,3,3,2047
3,2,3,2,2044
6,3,3,3,204
3,1,3,3,2044
8,4,4,4,2047
8,3,4,3,2049
8,3,4,3,2049
5,2,3,2,2044
5,2,3,3,2044
5,2,3,3,2052
3,2,3,1,2059
5,1,2,2,2048
8,3,3,3,2047
8,4,4,3,2048
6,2,3,2,2066
5,2,2,2,2066
5,3,2,2,2057
3,2,2,1,2064
8,4,3,3,2061
3,3,2,2,2068
6,3,3,3,2066
3,2,3,2,1985
6,3,3,3,2064
6,2,2,2,2057
3,3,3,3,2012
8,3,4,3,2012
6,3,2,2,2053
8,4,4,3,2057
5,3,3,2,2061
6,3,3,3,2068
6,3,3,3,2058
6,3,3,3,2058
3,1,1,2,1985
5,2,3,3,2064
8,2,3,2,2057
8,3,4,3,2068
8,3,4,4,2012
8,3,3,4,2053
8,3,3,4,2058
8,3,3,3,2061
8,3,2,3,2053
5,2,3,2,2066
8,3,3,3,2061
5,1,2,2,2058
3,1,2,1,1985
3,3,2,2,2064
3,3,2,2,2012
1,1,2,1,2069
1,2,1,1,2075
6,4,3,3,2060
6,3,4,2,2079
8,3,4,4,2032
5,2,2,2,2060
6,2,2,3,2032
3,2,2,1,2075
3,2,3,2,2075
5,3,3,2,207
8,3,3,3,1663
6,2,3,3,2079
5,2,2,3,2060
5,2,3,3,2042
8,4,4,3,1663
3,1,3,2,2076
6,3,2,3,1663
6,2,3,3,2076
8,3,2,3,2079
3,3,2,2,2075
3,2,2,2,2032
3,2,2,2,207
6,3,2,3,2042
5,2,4,2,207
3,2,1,1,2032
8,3,3,3,2069
6,3,3,3,2060
3,1,2,1,2051
5,2,2,2,2051
3,2,3,1,2051
5,3,3,2,2069
8,3,4,3,2079
3,3,3,2,2069
5,3,3,2,207
3,2,3,2,2051
5,2,3,2,2042
8,3,4,3,2054
6,2,2,2,2089
6,3,3,3,2073
1,1,2,2,2054
3,1,2,1,2065
3,3,3,1,2083
8,3,3,3,2089
3,2,2,2,2095
8,3,4,3,2076
5,3,3,3,2073
3,1,1,2,2095
5,3,3,3,2065
5,3,2,2,2095
5,3,3,3,2087
5,3,4,4,2095
6,3,3,3,2065
3,2,3,2,2083
3,3,3,1,2073
8,3,3,3,1772
5,3,2,3,2087
6,2,2,3,1772
8,3,3,3,1772
6,3,4,3,2076
3,3,2,1,2054
6,4,2,2,2089
5,3,3,2,2083
3,2,2,2,2054
8,3,3,3,2026
5,3,3,3,2083
5,2,2,2,2065
8,4,4,4,2089
8,2,1,2,1772
5,2,2,3,2087
1,1,1,1,2026
3,2,3,2,2026
6,3,3,2,2081
8,4,2,3,1974
5,2,2,2,1974
6,3,3,3,1956
8,3,3,2,1974
5,2,3,2,2081
6,3,3,2,2081
5,2,3,2,1956
6,3,2,3,1974
5,3,3,2,1956
8,4,4,3,1956
3,2,2,2,2081
6,4,4,3,2081
8,4,4,4,1082
6,3,3,3,1162
3,1,3,1,1137
6,3,3,3,1114
8,3,4,3,1131
3,2,2,3,1137
5,3,3,2,1169
6,3,3,3,1115
3,2,3,2,1115
3,2,1,2,1162
5,3,2,3,1155
6,3,3,2,1114
3,2,2,2,1155
3,1,3,2,1137
5,2,3,2,1137
6,3,3,3,1131
8,4,4,4,1131
3,1,2,2,1169
5,3,2,2,1137
6,2,3,2,1145
3,2,2,2,1115
3,2,3,2,1115
6,3,3,3,1082
5,2,3,2,1160
3,2,3,2,1169
5,2,2,3,1155
3,2,2,2,1169
3,3,1,1,1162
3,3,3,2,1145
3,2,2,2,113
5,3,3,2,113
8,3,3,4,1155
5,3,2,3,1131
6,3,3,3,1114
6,3,3,3,1114
6,3,2,2,113
8,3,3,3,1145
6,3,3,3,1082
8,3,3,3,1082
6,3,2,2,1238
8,3,3,3,1238
8,4,3,4,1238
5,2,3,2,1238
6,2,3,3,1276
6,2,3,3,1276
8,3,2,3,1276
6,2,3,2,1276
8,3,3,3,1334
8,3,3,3,1334
8,3,3,3,1334
6,3,3,2,1334
6,3,3,2,1349
5,2,3,2,1349
3,2,3,1,1349
6,4,3,2,1354
6,4,3,3,1354
6,4,3,3,1354
6,2,3,3,1354
6,3,3,2,1354
6,3,4,4,1358
6,2,2,3,1358
6,2,2,2,1358
5,3,2,2,1358
8,4,3,4,1361
6,4,3,3,1361
8,4,3,4,1361
6,3,4,2,1361
8,3,3,3,1361
8,3,3,3,1361
3,2,2,2,1364
5,2,2,2,1371
8,4,3,4,1371
8,3,3,3,1371
6,4,2,3,1371
3,2,2,1,1373
3,2,2,1,1373
3,3,3,2,1373
3,2,3,2,1373
8,4,4,3,2037
8,3,3,3,2067
3,2,2,2,2084
6,3,3,2,2084
5,3,3,3,2078
5,2,3,2,2099
5,3,2,3,2099
6,3,3,3,2086
6,2,3,2,2086
8,3,4,3,2084
3,1,2,2,2099
5,3,3,2,2101
6,3,4,3,2067
5,3,3,3,2098
5,2,2,2,2082
8,4,4,3,2078
6,3,4,3,2086
3,2,3,2,2101
6,3,2,3,2098
3,2,3,2,2082
6,2,3,3,2082
5,3,2,2,2067
3,2,1,2,2101
5,3,3,2,2097
6,2,3,2,2085
3,2,2,2,2085
3,2,3,1,2098
5,3,3,2,2097
6,3,3,3,2084
6,3,3,3,2097
5,3,3,2,2085
6,3,4,2,2086
5,2,2,3,2085
5,2,3,2,2078
3,4,3,2,2098
3,1,1,2,2082
3,2,3,3,2101
6,3,3,4,2097
3,3,2,2,2067
6,3,3,2,2078
8,3,3,3,2088
5,3,2,2,2099
5,3,3,2,2088
5,2,3,3,2100
8,3,3,3,2116
6,3,3,2,2116
3,2,2,2,2100
6,2,4,2,2112
6,3,2,3,2091
5,3,3,2,2118
6,3,3,3,2118
6,3,3,3,2091
5,2,3,1,2096
6,3,3,4,2088
3,2,2,1,2107
3,2,2,2,2096
3,2,2,2,2118
3,2,3,2,2107
5,3,3,1,2109
3,2,2,2,2109
5,3,2,2,2102
5,2,2,3,2109
3,2,3,2,2118
6,3,2,3,2091
5,3,3,2,2102
6,3,3,2,2100
6,3,4,3,2112
5,2,3,2,2091
3,1,2,1,2102
3,2,1,3,2088
8,3,3,4,2112
5,3,3,3,2112
3,2,2,1,2107
6,2,3,3,2112
3,2,2,1,2107
6,3,4,2,2102
5,3,3,2,2116
3,2,2,2,2109
5,3,2,2,2100
5,2,3,2,2112
5,3,3,2,2199
8,3,3,3,219
6,3,3,3,2188
3,2,2,2,220
8,3,3,3,219
5,2,2,2,2188
3,4,4,3,2204
3,2,1,2,2188
3,3,3,1,2198
5,3,3,2,2114
3,1,1,1,220
8,3,3,3,219
3,2,3,1,2198
6,3,2,3,2175
6,3,2,3,2175
5,3,2,3,220
5,3,2,2,2221
3,2,2,2,2221
3,2,1,2,2204
3,3,3,2,2114
6,3,3,3,219
5,2,1,2,2188
1,1,1,1,2210
3,3,3,3,2204
6,2,2,2,2175
5,2,2,2,2221
5,2,3,2,2199
5,2,3,2,2114
1,1,1,2,2210
6,4,4,3,219
3,2,3,1,2199
3,2,2,2,220
5,3,2,2,2221
6,3,3,2,219
3,2,2,2,2175
6,3,3,3,2210
3,2,3,2,2199
5,2,2,2,220
3,1,2,2,2221
3,2,2,2,2204
3,2,3,1,2201
6,3,3,3,2206
8,3,3,3,2206
3,2,2,2,2223
5,2,3,2,2201
6,3,3,3,2227
8,3,3,3,2147
3,3,2,2,2198
8,4,3,4,2214
8,4,4,4,2206
3,3,2,2,2211
6,3,2,3,2207
6,3,3,2,1972
5,2,3,2,2198
5,3,3,2,2211
5,2,3,3,2223
6,3,3,3,2201
8,4,3,2,1972
6,3,3,3,221
5,3,3,2,2207
6,3,4,3,2227
6,3,4,3,221
3,3,3,2,2211
5,3,3,2,2207
6,3,3,3,2223
5,2,3,2,2206
8,3,2,3,2147
8,4,3,3,2214
5,2,3,2,1972
8,4,4,4,2147
5,3,3,3,2201
6,3,3,3,221
5,2,2,2,2227
6,2,2,2,1972
8,3,3,3,2214
5,3,3,3,2198
6,3,3,2,221
8,3,3,3,2147
5,2,2,2,2227
6,3,3,3,2223
6,2,3,3,2224
5,2,2,2,2236
8,3,3,3,2224
5,3,3,2,2217
1,3,3,2,218
8,3,3,3,2217
5,2,3,2,2205
6,3,3,3,2202
3,1,1,1,218
5,2,3,2,2230
3,3,2,1,2205
3,2,2,2,2236
5,2,3,2,2217
6,3,3,3,2202
3,1,1,2,1375
3,2,2,2,2205
5,3,3,2,1375
8,4,3,4,218
5,3,2,3,218
3,2,2,2,2236
8,4,4,4,2230
8,4,4,4,2230
8,3,3,3,2230
1,2,2,2,2202
3,1,2,2,1375
3,2,1,1,2205
5,3,3,2,2205
3,2,3,2,2202
3,3,3,2,1375
3,1,1,1,218
6,2,3,2,2224
5,2,1,2,2236
6,3,4,3,2243
5,2,3,2,2262
3,2,2,2,2243
5,2,3,1,2215
5,2,2,2,2257
3,3,3,2,2240
6,4,3,3,222
5,3,2,2,2257
5,2,2,3,2250
5,3,3,2,2247
6,4,4,3,2247
6,3,2,2,222
8,4,2,3,2250
5,3,3,2,2262
6,3,4,3,2240
5,2,3,3,2215
1,2,2,2,2243
6,2,3,2,2240
3,3,2,3,2245
5,3,2,3,1992
3,3,2,2,2245
6,4,4,4,2245
5,2,2,2,2215
6,3,4,3,2247
5,3,2,2,2257
5,2,3,2,222
5,2,2,2,2215
3,2,2,2,1992
3,1,2,1,2250
5,3,3,3,2243
6,3,3,2,2240
3,2,1,2,2247
5,2,3,2,2250
3,2,2,2,1992
3,2,3,2,1992
8,3,3,3,2248
5,3,3,3,2274
3,2,3,2,2242
3,2,3,1,226
5,3,2,3,2262
5,2,3,3,2251
5,3,3,4,2237
6,3,3,3,2237
5,3,2,2,226
6,3,3,3,2260
1,1,1,1,2274
6,3,3,3,2242
6,3,3,2,2251
3,3,3,2,2234
6,4,3,3,2260
5,2,2,2,2237
1,1,1,2,2271
3,2,2,1,2262
6,3,3,1,2254
8,3,3,3,2237
3,3,3,3,2274
6,3,3,3,2251
3,2,3,1,2234
6,3,3,3,2251
3,2,2,2,2274
6,3,2,3,2242
3,2,3,2,226
6,4,4,3,2234
6,3,3,2,2254
5,2,3,3,2248
1,1,1,1,2271
3,2,2,2,2234
5,2,2,2,2248
1,2,1,2,2271
6,3,2,3,2254
6,3,3,2,2254
6,3,3,3,2260
6,2,2,2,2260
6,3,3,3,2248
3,2,2,1,226
6,3,3,3,226
6,2,3,2,2242
3,2,1,2,2271
8,3,3,3,2269
3,2,2,3,2293
6,3,3,3,2278
3,2,1,1,2280
3,2,3,2,2244
6,3,2,3,2297
5,2,3,2,2270
5,3,3,3,228
6,3,2,3,2272
10,4,4,4,2270
5,2,3,2,2272
3,3,3,2,2269
6,3,3,2,2278
5,3,4,2,228
3,2,3,3,2293
5,4,3,2,2269
6,3,3,3,2278
8,3,3,3,2278
3,2,2,2,2293
5,2,3,3,2244
8,3,3,3,2272
5,2,3,2,2280
5,2,2,2,2280
6,3,3,3,2272
6,3,3,2,2297
5,2,3,2,2280
5,2,3,2,2269
3,2,2,1,228
8,3,4,3,2244
6,3,4,3,2244
1,2,1,2,2293
5,2,2,2,2270
5,3,3,3,2298
3,2,2,2,2295
8,3,3,3,2290
3,3,2,2,2295
5,2,3,2,2300
3,2,3,1,2265
6,2,3,2,2298
8,4,3,3,2281
6,3,3,3,2287
6,3,2,3,2290
5,2,3,2,2298
3,3,3,2,2265
5,3,2,3,2300
3,2,2,2,2265
6,3,2,3,2264
3,2,3,2,2308
8,3,4,3,2264
5,2,3,2,2308
6,3,3,3,2295
5,3,2,2,2300
5,2,2,1,2297
3,2,2,2,2300
3,2,2,2,2265
8,3,3,3,2287
6,3,3,2,2281
3,2,3,2,2264
8,4,4,4,2290
6,3,3,3,2297
8,3,3,3,2297
8,3,3,3,2281
5,3,3,2,2295
6,4,4,3,2287
3,2,2,1,2308
1,2,2,1,2308
6,3,2,3,2264
5,3,2,2,2325
3,3,3,2,2325
3,3,2,2,2284
8,3,3,3,2312
6,3,3,2,224
5,2,2,2,2325
3,2,2,2,2288
3,3,4,2,2288
3,2,2,1,2325
6,3,3,3,2256
6,3,3,3,2284
3,3,2,3,231
6,3,2,3,2284
3,2,1,2,2256
5,3,3,2,2317
6,3,2,3,231
3,2,2,2,2325
6,3,3,3,231
3,3,3,3,2306
8,3,2,2,2256
3,2,3,1,2288
8,3,3,3,2306
3,2,3,2,2306
6,3,3,2,2273
6,3,3,3,224
3,2,3,2,2306
8,3,3,3,2256
6,3,3,2,231
3,1,2,1,2306
6,3,3,3,2273
3,2,2,2,231
3,2,2,3,2317
3,2,3,1,2288
8,4,4,4,2273
3,2,3,2,2317
3,2,3,1,2317
6,4,4,2,224
8,3,4,3,2299
8,3,3,3,2314
8,3,3,3,2311
6,3,2,2,2330
5,3,3,3,2299
5,3,3,2,2330
8,3,4,4,2299
8,4,3,3,2311
5,2,3,2,2299
6,2,3,2,2312
6,3,3,3,2235
3,2,3,2,2329
8,3,3,3,2330
6,3,3,2,2235
3,2,3,1,2235
3,3,2,3,2329
6,3,3,2,2314
6,2,3,2,2307
8,3,3,3,2312
6,2,1,2,2312
6,3,3,3,2307
6,3,2,3,2326
6,3,3,2,2311
8,2,4,3,2314
5,4,4,3,2326
3,3,2,2,2327
8,4,3,3,2314
6,3,4,3,2327
6,3,3,3,2326
5,2,2,2,2327
6,3,4,3,2307
8,3,3,4,2314
5,2,3,2,2329
1,2,3,2,2330
5,2,3,2,2326
3,2,2,2,2332
6,3,3,3,2291
6,2,3,2,2335
8,3,3,3,2291
6,4,3,3,1448
5,3,3,3,2335
6,3,3,4,2291
8,4,3,4,2332
6,3,2,3,2291
8,3,4,3,2316
5,3,2,3,2336
5,3,3,2,1448
6,3,4,3,2337
5,2,1,3,2316
3,3,2,2,1448
6,3,3,3,2335
3,2,2,2,2316
5,3,2,2,2332
5,2,3,2,2337
3,2,1,2,1448
8,4,4,4,2337
5,2,3,2,2291
5,3,3,3,2330
5,2,2,2,2336
5,3,2,2,2336
8,2,1,3,1448
5,3,3,2,2332
3,2,3,1,2336
5,3,3,3,2335
5,2,1,2,2316
6,4,4,4,2337
1,2,1,2,2127
3,2,2,2,2127
3,3,3,3,2130
3,2,2,2,2127
6,3,3,2,2096
3,2,2,2,2127
6,2,4,2,212
8,2,2,3,2129
3,2,2,2,2110
8,3,4,3,2129
6,3,4,2,2096
6,3,3,3,2127
5,3,2,3,2122
3,2,3,2,2129
3,3,2,1,2110
6,4,4,3,2130
3,3,4,2,2130
6,3,3,3,212
3,2,2,1,2122
3,2,3,1,2110
